cgmlst_ST	cgmlst_distance	cgmlst_found_loci	cgmlst_genome_match	cgmlst_matching_alleles	cgmlst_subspecies	fasta_filepath	genome	h1	h2	o_antigen	qc_messages	qc_status	serogroup	serovar	serovar_antigen	serovar_cgmlst
	0.018181818181818188	329	2018-CAL-0016	324	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS1_assembly.fasta	ARS1_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.018181818181818188	329	2018-SEQ-0501	324	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS10_assembly.fasta	ARS10_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.024242424242424288	329	2018-SEQ-0306	322	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS11_assembly.fasta	ARS11_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.054545454545454564	318	2018-SEQ-0501	312	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS12_assembly.fasta	ARS12_assembly	g,p	-	1,9,12[Vi]	FAIL: Moderate number of cgMLST330 loci missing (n=12 > 10) | INFO: Number of cgMLST330 loci found (n=318)	WARNING	D1	Dublin	Kiel|Dublin	Dublin
	0.018181818181818188	329	2018-CAL-0016	324	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS13_assembly.fasta	ARS13_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.018181818181818188	329	2018-SEQ-0351	324	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS14_assembly.fasta	ARS14_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.027272727272727226	329	2018-SEQ-0501	321	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS15_assembly.fasta	ARS15_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.08787878787878789	314	SRR1122707	301	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS16_assembly.fasta	ARS16_assembly	g,p	-	1,9,12[Vi]	FAIL: Moderate number of cgMLST330 loci missing (n=16 > 10) | INFO: Number of cgMLST330 loci found (n=314)	WARNING	D1	Dublin	Kiel|Dublin	Dublin
	0.018181818181818188	329	2018-SEQ-0351	324	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS17_assembly.fasta	ARS17_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
3017603381	0.018181818181818188	330	2018-SEQ-0501	324	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS18_assembly.fasta	ARS18_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
3617820592	0.024242424242424288	330	2018-SEQ-0501	322	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS2_assembly.fasta	ARS2_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.021212121212121238	329	2018-SEQ-0501	323	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS3_assembly.fasta	ARS3_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.018181818181818188	329	2018-SEQ-0351	324	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS4_assembly.fasta	ARS4_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.021212121212121238	329	2018-SEQ-0351	323	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS5_assembly.fasta	ARS5_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
3390645378	0.06060606060606055	330	2018-CAL-0016	310	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS6_assembly.fasta	ARS6_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.018181818181818188	329	2018-SEQ-0351	324	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS7_assembly.fasta	ARS7_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
991368780	0.030303030303030276	330	2018-SEQ-0244	320	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS8_assembly.fasta	ARS8_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.021212121212121238	329	2018-SEQ-0351	323	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/ARS9_assembly.fasta	ARS9_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.018181818181818188	329	2018-CAL-0016	324	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/NDSU1_assembly.fasta	NDSU1_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.024242424242424288	328	2018-SEQ-0244	322	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/NDSU10_assembly.fasta	NDSU10_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=328)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.030303030303030276	329	2018-SEQ-0306	320	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/NDSU12_assembly.fasta	NDSU12_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.024242424242424288	327	2018-SEQ-0351	322	enterica	/scratch/smk459/dub-genphen/3.4-unicycler_entero/assemblies/NDSU13_assembly.fasta	NDSU13_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=327)	PASS	D1	Dublin	Kiel|Dublin	Dublin
